,Formula,State,Molar Mass,deltaH0,deltaG0,S0,Cp,Charge
1404,K2F2,g,116.2008,-859.0,-856.0,321.0,78.28,0.0
1405,KHF2,cr,78.1068,-927.68,-859.68,104.27,76.94,0.0
1406,KCl,cr,74.5550,-436.747,-409.14,82.59,51.30,0.0
1407,KCl,g,74.5550,-214.14,-233.0,239.10,36.48,0.0
1408,KCl,ai,74.5550,-419.53,-414.49,159.0,-114.6,0.0
1409,K2Cl2,g,149.1100,-623.0,-622.6,350.3,80.67,0.0
1410,KClO3,cr,122.5532,-397.73,-296.25,143.1,100.25,0.0
1411,KClO4,cr,138.5526,-432.75,-303.09,151.0,112.38,0.0
1412,KBr,cr,119.0110,-393.798,-380.66,95.90,52.30,0.0
1413,KBr,g,119.0110,-180.08,-212.96,250.52,36.920,0.0
1414,KBr,ai,119.0110,-373.92,-387.23,184.9,-120.1,0.0
1415,K2Br2,g,238.0220,-541.8,-570.,375.4,81.46,0.0
1416,KBrO3,cr,167.0092,-360.24,-271.16,149.16,105.19,0.0
1417,KBrO4,cr,183.0086,-287.86,-174.41,170.08,120.16,0.0
1418,KI,cr,166.0064,-327.900,-324.892,106.32,52.93,0.0
1419,KI,g,166.0064,-125.5,-166.1,258.3,37.11,0.0
1420,KI,ai,166.0064,-307.57,-334.85,213.8,-120.5,0.0
1421,K2I2,g,332.0128,-424.7,-469.1,393.8,82.0,0.0
1422,KIO3,cr,214.0046,-501.37,-418.35,151.46,106.48,0.0
1423,K2SO4,cr,174.2656,-1437.79,-1321.37,175.56,131.46,0.0
1424,K2SO4,g,174.2656,-1096.,-1033.,364.,108.8,0.0
1425,K2SO4,ai,174.2656,-1414.02,-1311.07,225.1,-251.,0.0
1426,K2S2O8,cr,270.3272,-1916.1,-1697.3,278.7,213.09,0.0
1427,K2S4O6,cr,302.4564,-1780.71,-1613.34,309.66,230.79,0.0
1428,K2S4O6,ai,302.4564,-1728.8,-1607.0,462.3,-24.3,0.0
1429,KHSO4,ai,136.1716,-1139.72,-1039.18,234.3,-63.,0.0
1430,KNO2,cr,85.1075,-369.82,-306.55,152.09,107.40,0.0
1431,KNO3,cr,101.1069,-494.63,-394.86,133.05,96.40,0.0
1432,KNO3,ai,101.1069,-459.74,-394.53,248.9,-64.9,0.0
1433,KH2PO4,cr,136.0894,-1568.33,-1415.85,134.85,116.57,0.0
1434,KPF6,cr,184.0662,-2350.6,-2205.3,225.89,158.36,0.0
1435,KH2AsO4,cr,180.0372,-1180.7,-1035.9,155.02,126.73,0.0
1436,K2CO3,cr,138.2134,-1151.02,-1063.5,155.52,114.43,0.0
1437,HCOOK,ai,84.1200,-677.93,-634.2,192.,-66.1,0.0
1438,CH3COOK,ai,98.1472,-738.39,-652.58,189.1,15.5,0.0
1439,KCN,cr,65.1199,-113.0,-101.86,128.49,66.27,0.0
1440,KCN,g,65.1199,90.8,64.17,261.90,52.34,0.0
1441,KCNS,cr,97.1839,-200.16,-178.31,124.26,88.53,0.0
1442,KCNS,ai,97.1839,-175.94,-190.56,246.9,-18.4,0.0
1443,K2SnCl6,cr,409.6120,-1477.0,-1332.9,366.52,246.02,0.0
1444,K2SnBr6,cr,676.3480,-1218.0,-1160.2,443.1,246.02,0.0
1445,KBO2,cr,81.9118,-981.6,-923.4,80.00,66.73,0.0
1446,K2O·B2O3,cr,163.8236,-1963.1,-1846.8,160.00,133.47,0.0
1447,KBH4,cr,53.9450,-227.40,-160.27,106.27,96.06,0.0
1448,KBF4,cr,125.9066,-1882.0,-1785.7,152.30,110.58,0.0
1449,KAl(SO4)2,cr,258.2067,-2470.2,-2240.0,204.6,192.97,0.0
1450,KAl(SO4)2·12H2O,cr,474.3915,-6061.8,-5141.0,687.4,651.03,0.0
1451,K3H6Al5(PO4)8·18H2O,cr,1342.3099,-18919.2,-17417.3,3496.2,1482.4,0.0
1452,KAlSiO4,cr,158.1671,-2121.3,-2005.3,133.1,119.79,0.0
1453,KAlSi2O6,cr,218.2519,-3034.2,-2871.4,200.0,164.14,0.0
1454,KAlSi3O8,cr,278.3367,-3959.7,-3739.9,232.88,204.51,0.0
1455,KAlSi3O8,cr2,278.3367,-3968.1,-3742.9,214.22,202.38,0.0
1456,K2CuCl4·2H2O,cr,319.5868,-1707.1,-1492.7,355.43,253.232,0.0
